Query,Graph_Type
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
